scenario,year,median_warming,prob1.5,prob2.0
Low Demand,2000.0,0.7321267260987722,0.0,0.0
Low Demand,2074.0,1.600613948793685,60.5,18.2
Low Demand,2073.0,1.6166932507770533,62.3,18.3
Low Demand,2072.0,1.624122426909145,62.9,18.8
Low Demand,2071.0,1.634275460259753,63.8,19.5
Low Demand,2070.0,1.6368363111866857,64.7,19.2
Low Demand,2069.0,1.6350814867595285,63.5,19.3
Low Demand,2068.0,1.6350393423192846,64.2,20.2
Low Demand,2067.0,1.6415139678046322,64.5,19.4
Low Demand,2066.0,1.639277038642148,64.2,18.7
Low Demand,2065.0,1.659195908437251,65.6,19.0
Low Demand,2076.0,1.604100656686328,59.8,17.4
Low Demand,2064.0,1.6579405694085498,67.0,18.4
Low Demand,2062.0,1.6753908016677377,70.0,19.3
Low Demand,2061.0,1.6779539360169726,70.7,19.1
Low Demand,2060.0,1.6827680503238298,70.7,20.8
Low Demand,2059.0,1.681856317293872,70.0,20.6
Low Demand,2058.0,1.6960757869407557,70.4,20.6
Low Demand,2057.0,1.6961468042491374,71.3,20.5
Low Demand,2056.0,1.6964651446062078,71.3,20.0
Low Demand,2055.0,1.695037977978523,71.4,19.5
Low Demand,2054.0,1.7003650210806098,72.9,20.1
Low Demand,2053.0,1.7076799154058186,74.0,20.3
Low Demand,2063.0,1.6549236402325465,67.9,19.0
Low Demand,2052.0,1.7063314585080511,74.7,20.7
Low Demand,2077.0,1.5886182750505045,58.2,17.1
Low Demand,2079.0,1.5754571850372467,57.2,16.1
Low Demand,2101.0,1.5066960880313245,50.8,15.5
Low Demand,2100.0,1.511616534970149,51.0,15.4
Low Demand,2099.0,1.5055924149594533,50.5,15.3
Low Demand,2098.0,1.5231717619651846,52.2,15.5
Low Demand,2097.0,1.536686294017807,54.1,15.9
Low Demand,2096.0,1.540999660070982,54.2,16.6
Low Demand,2095.0,1.543282552465632,53.8,16.2
Low Demand,2094.0,1.5345651146712953,53.9,16.4
Low Demand,2093.0,1.542335490774913,53.7,16.7
Low Demand,2092.0,1.5240345379489153,52.8,15.5
Low Demand,2078.0,1.570658777926423,57.3,16.1
Low Demand,2091.0,1.5340663419693257,53.6,16.4
Low Demand,2089.0,1.5393559358164646,53.6,15.2
Low Demand,2088.0,1.534091244275329,53.4,15.3
Low Demand,2087.0,1.5369474985983242,53.0,15.6
Low Demand,2086.0,1.5519139692423318,54.3,15.7
Low Demand,2085.0,1.55807370918708,56.0,16.0
Low Demand,2084.0,1.5659377005831845,56.3,16.4
Low Demand,2083.0,1.5725366517345034,56.7,16.0
Low Demand,2082.0,1.5739852003111765,58.1,17.0
Low Demand,2081.0,1.576998015763541,57.9,16.0
Low Demand,2080.0,1.5851686577248374,57.7,16.9
Low Demand,2090.0,1.5368286123559836,53.8,15.7
Low Demand,2051.0,1.7225675766607162,75.3,21.6
Low Demand,2075.0,1.6027614952686629,60.7,18.6
